name;open;high;low;close;volume;marketCap;timestamp
"2781";2.91603238;2.97613646;2.15435652;2.32147654;17600103.44;77525014.83;"2020-10-26T00:00:00.000Z"
"2781";2.32147654;2.56648757;1.69284302;2.23551579;21832250.63;74654381.53;"2020-11-02T00:00:00.000Z"
"2781";2.23551682;2.44012027;2.08169633;2.283571;18385853.83;76259170.7;"2020-11-09T00:00:00.000Z"
"2781";2.28356992;2.75843174;2.28356992;2.59471855;22941570.69;86649850.25;"2020-11-16T00:00:00.000Z"
"2781";2.59469634;2.84776107;2.22026667;2.28569003;23266473.05;76329935.03;"2020-11-23T00:00:00.000Z"
"2781";2.28565757;2.43623938;2.06545046;2.25052715;21885110.68;75155681.39;"2020-11-30T00:00:00.000Z"
"2781";2.25078721;2.36299755;2.03661016;2.29842057;13234815.98;76755067.82;"2020-12-07T00:00:00.000Z"
"2781";2.29803235;2.78539063;2.13433221;2.49605273;15480510.28;83354934.63;"2020-12-14T00:00:00.000Z"
"2781";2.49459778;2.80881026;2.19418992;2.25330963;14360730.79;75248601.33;"2020-12-21T00:00:00.000Z"
"2781";2.25042176;2.79467801;2.19829178;2.57339582;22555127.02;85937783.99;"2020-12-28T00:00:00.000Z"
"2781";2.56541246;4.12570793;2.463819;4.09389199;36868546.49;136714298.93;"2021-01-04T00:00:00.000Z"
"2781";4.09518002;4.74109536;3.08007843;4.62148918;55285764.42;154333249.4;"2021-01-11T00:00:00.000Z"
"2781";4.62149882;6.23865092;4.22752787;6.05468723;87467274.04;202194469.76;"2021-01-18T00:00:00.000Z"
"2781";6.05419743;6.21561504;4.63977668;4.80839172;307811720.53;160574803.89;"2021-01-25T00:00:00.000Z"
"2781";4.80837903;5.99150588;4.67879134;5.48251663;51498576.74;183087003.53;"2021-02-01T00:00:00.000Z"
"2781";5.48033543;7.71468547;5.16401157;6.88504707;69866165.4;229924088.33;"2021-02-08T00:00:00.000Z"
"2781";6.87560607;8.01387351;5.75621634;7.19948454;66674775.77;240424633.52;"2021-02-15T00:00:00.000Z"
"2781";7.23113477;13.20269369;5.59712897;9.28819334;141456699.19;310176439.36;"2021-02-22T00:00:00.000Z"
"2781";9.2897336;17.30047988;8.93396205;13.49839285;124057650.22;450774793.27;"2021-03-01T00:00:00.000Z"
"2781";13.49654917;16.7596783;12.42171552;14.8503643;96507778.01;495923475.53;"2021-03-08T00:00:00.000Z"
"2781";14.84870228;23.29341954;12.16324903;21.31242148;106788259.89;711721942.92;"2021-03-15T00:00:00.000Z"
"2781";21.31442666;31.02272102;19.0727102;27.02670701;151645527.71;902548799.71;"2021-03-22T00:00:00.000Z"
"2781";27.02213583;34.22877025;25.36311565;27.28475729;160540630.65;911166311.47;"2021-03-29T00:00:00.000Z"
"2781";27.30966603;32.73191928;26.15626635;27.86250128;130814280;930459899.4;"2021-04-05T00:00:00.000Z"
"2781";27.85975944;31.40997023;20.15066018;24.2350987;148541308.48;809323874.74;"2021-04-12T00:00:00.000Z"
"2781";24.17211297;28.36561821;16.74031992;27.46768101;129117537.59;917274994.53;"2021-04-19T00:00:00.000Z"
"2781";27.46369466;32.09448852;26.69652711;26.824382;133850821.43;895792216.46;"2021-04-26T00:00:00.000Z"
"2781";26.82114295;28.6922918;23.63603924;23.95674741;107789857.34;800028416.75;"2021-05-03T00:00:00.000Z"
"2781";23.95864941;45.02908598;22.7197196;23.82303889;417731462.36;795563260.51;"2021-05-10T00:00:00.000Z"
"2781";23.90394792;25.93818924;9.91171076;13.23995486;219368769.87;442144333.88;"2021-05-17T00:00:00.000Z"
